accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, packetNum
14080, 16384, 3073, -19201, -22530, 13566, -18927, 14848, 4352, 28892
14080, 16384, 3073, -18433, -22530, 13566, -19183, 14592, 4352, 29148
11264, 14592, 3329, -17665, -21762, 12798, -20207, 14592, 4864, 29660
11264, 14592, 3329, -17665, -21762, 13310, -20975, 14336, 4608, 29916
11264, 14592, 3329, -17153, -21762, 13310, -21231, 13568, 4864, 30172
8704, 12800, 5121, -17153, -20994, 12542, -21743, 12800, 4608, 30428
8704, 12800, 5121, -16385, -20482, 12030, -22255, 10752, 4864, 30940
8192, 12800, 3841, -15873, -20482, 12030, -22511, 10240, 4864, 31196
8192, 12800, 3841, -15873, -20482, 11774, -22511, 9984, 4864, 31452
8192, 12800, 3841, -15361, -20482, 11774, -22511, 9728, 4864, 31708
8448, 12544, 513, -15361, -18946, 11774, -22511, 9728, 4864, 31964
8448, 12544, 513, -14593, -18946, 11518, -22511, 10240, 5120, 32476
9472, 11520, 257, -14593, -18946, 11518, -22511, 10496, 5376, 32732
9472, 11520, 257, -14593, -18434, 10750, -22255, 11008, 5376, -32548
9472, 11520, 257, -13313, -18434, 10750, -22511, 12032, 5632, -32292
12544, 10752, 4097, -13313, -17410, 11006, -22767, 12800, 5888, -32036
12544, 10752, 4097, -13313, -17410, 11006, -23279, 14080, 6400, -31780
14592, 10496, 5633, -12801, -17154, 10494, -24559, 16128, 6912, -31268
14592, 10496, 5633, -12801, -16386, 9726, -25327, 15104, 7168, -31012
13568, 11776, 11265, -11521, -15874, 10238, -26607, 13824, 8448, -30500
13568, 11776, 11265, -11009, -15874, 10238, -27375, 13312, 8960, -30244
13568, 11776, 11265, -11009, -14850, 9470, -27631, 13568, 9984, -29988
10752, 12544, 5633, -10497, -13570, 8958, -28399, 14592, 11776, -29476
10752, 12544, 5633, -9985, -13570, 8958, -28655, 14592, 12288, -29220
6912, 11264, 769, -9985, -13570, 8702, -28399, 13824, 13056, -28964
6912, 11264, 769, -9729, -11778, 7934, -27631, 13568, 12544, -28452
2816, 7680, -1792, -9217, -11778, 7934, -26863, 13312, 12032, -28196
2816, 7680, -1792, -9217, -11778, 7934, -25839, 12800, 10752, -27940
2816, 7680, -1792, -8961, -11778, 7934, -24815, 12800, 9984, -27684
-1793, 1280, -7424, -8961, -10754, 7422, -24047, 13824, 8960, -27428
-1793, 1280, -7424, -8449, -10754, 7422, -23279, 14336, 7680, -27172
-1793, 1280, -7424, -8449, -9730, 6910, -22255, 14336, 6912, -26916
-7169, -3841, -10752, -7681, -9730, 6910, -20975, 14336, 5376, -26660
-7169, -3841, -10752, -7169, -9730, 7166, -18159, 13824, 2560, -26148
-7937, -7425, -13568, -7169, -8962, 6910, -16623, 14080, 1280, -25892
-7937, -7425, -13568, -6145, -8962, 6910, -15343, 14336, 0, -25636
-7937, -7425, -13568, -6145, -8962, 6910, -13807, 14592, -13551, -25380
-6401, -7425, -16128, -5377, -8962, 6654, 2048, 15104, -15599, -24868
-6401, -7425, -16128, -4609, -8962, 6654, 3328, 15872, -16367, -24612
-3585, -5633, -18176, -4609, -8706, 6910, 5120, 16384, -17135, -24356
-3585, -5633, -18176, -3073, -8706, 6910, 6400, 17408, -17647, -24100
-3585, -5633, -18176, -3073, -9986, 7422, 8192, 17664, -18415, -23844
-1793, -4609, -19200, -2561, -9986, 7422, 9472, 17408, -18927, -23588
-1793, -4609, -19200, -769, -9730, 7422, 12032, 17152, -19183, -23076
-2049, -3585, -17152, -769, -10754, 8190, 13312, 16384, -19439, -22820
-2049, -3585, -17152, -1, -10754, 8190, 14336, 16128, -19695, -22564
-2049, -3585, -17152, -1, -11522, 8702, 15104, 15872, -19951, -22308
512, -5121, -12800, 1280, -11522, 8702, 15872, 15360, -20207, -22052
512, -5121, -12800, 1280, -11778, 9470, 16128, 15104, -20463, -21796
2048, -5121, -8960, 2560, -13570, 10494, 16640, 13312, -20463, -21284
2048, -5121, -8960, 3328, -13570, 10494, 16384, 12032, -20463, -21028
4096, -4609, -3584, 4864, -14082, 10750, 16384, 8960, -20207, -20516
